Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3,Genre_mean_rating,Director_encoded,Actor1_encoded,Actor2_encoded,Actor3_encoded
Gadhvi ,2019.0,109.0,Drama,7.0,8.0,Gaurav Bakshi,Rasika Dugal,Vivek Ghamande,Arvind Jangid,6.271282051282052,7.0,6.85,7.0,7.0
Yaaram,2019.0,110.0,Comedy,4.4,35.0,Ovais Khan,Prateik,Ishita Raj,Siddhant Kapoor,5.838155136268345,4.4,5.42,4.4,4.45
Aur Pyaar Ho Gaya,1997.0,147.0,Comedy,4.7,827.0,Rahul Rawail,Bobby Deol,Aishwarya Rai Bachchan,Shammi Kapoor,5.838155136268345,5.2,4.885714285714286,5.786666666666666,5.872727272727272
Yahaan,2005.0,142.0,Drama,7.4,1086.0,Shoojit Sircar,Jimmy Sheirgill,Minissha Lamba,Yashpal Sharma,6.271282051282052,7.383333333333333,5.444444444444445,6.933333333333334,6.6571428571428575
 A Question Mark,2012.0,82.0,Horror,5.6,326.0,Allyson Patel,Yash Dave,Muntazir Ahmad,Kiran Bhatia,4.68655462184874,5.6,5.6,5.883333333333333,5.6
Andheri,2014.0,116.0,Action,4.0,11.0,Biju Bhaskar Nair,Augustine,Fathima Babu,Byon,5.543406229290921,4.0,4.0,4.55,4.0
1,2004.0,96.0,Drama,6.2,17.0,Madhu Ambat,Rati Agnihotri,Gulshan Grover,Atul Kulkarni,6.271282051282052,6.2,5.766666666666667,5.488888888888889,5.58
100 Days,1991.0,161.0,Horror,6.5,983.0,Partho Ghosh,Jackie Shroff,Madhuri Dixit,Javed Jaffrey,4.68655462184874,5.127272727272727,5.247222222222223,5.976190476190476,5.041666666666667
100,2012.0,166.0,Comedy,5.7,512.0,Rabi Kinagi,Jeet,Koyel Mallick,Sujoy Ghosh,5.838155136268345,5.7,6.300000000000001,5.7,5.7
102 Not Out,2018.0,102.0,Comedy,7.4,6619.0,Umesh Shukla,Amitabh Bachchan,Rishi Kapoor,Vijay Raaz,5.838155136268345,6.225,6.122340425531915,6.3428571428571425,6.066666666666666
10ml LOVE,2010.0,87.0,Comedy,6.3,162.0,Sharat Katariya,Neil Bhoopalam,Anusha Bose,Manu Rishi Chadha,5.838155136268345,6.866666666666667,6.3,6.3,6.933333333333334
12 O'Clock,1958.0,132.0,Crime,7.2,72.0,Pramod Chakravorty,Guru Dutt,Waheeda Rehman,Shashikala,6.17,6.484615384615385,7.425,6.916,6.828571428571428
127 B,2017.0,116.0,Comedy,6.6,26.0,Seshu Kmr,Mast Ali,Aziz Naser,Heena Shaik,5.838155136268345,6.6,6.6,6.6,6.6
13B,2009.0,146.0,Drama,7.3,6329.0,Vikram K. Kumar,Madhavan,Neetu Chandra,Poonam Dhillon,6.271282051282052,7.3,6.883333333333333,6.3999999999999995,6.111111111111111
15 Park Avenue,2005.0,116.0,Drama,7.1,1002.0,Aparna Sen,Shabana Azmi,Konkona Sen Sharma,Rahul Bose,6.271282051282052,6.816666666666666,6.8297297297297295,6.975,6.34
15th August,1993.0,168.0,Drama,5.6,15.0,Vicky Ranawat,Ronit Roy,Tisca Chopra,Shakti Kapoor,6.271282051282052,5.4,5.45,5.3,5.442857142857143
16 December,2002.0,158.0,Action,6.9,1235.0,Mani Shankar,Milind Soman,Danny Denzongpa,Gulshan Grover,5.543406229290921,5.7,6.5,6.214285714285714,4.984210526315789
18,2014.0,126.0,Action,3.5,10.0,Mohibul Haque,Rehal Khan,Gulshan Grover,Mukesh Tiwari,5.543406229290921,3.5,3.5,5.488888888888889,4.05
19 Revolutions,2004.0,94.0,Drama,4.5,16.0,Sridhar Reddy,Tarun Arora,Gulshan Grover,Vinay Pandey,6.271282051282052,4.5,4.5,5.488888888888889,4.5
